,result,director,first_hero,second_hero,first_heroien,second_heroien,multi_starer,music,back_ground,cinematographer,editor,audio,songs,genre,production_no1,production_no2,production_no3,combined_production,distributed_by,month,run_time,art_director,fight_master_one,fight_master_two,fight_master_three,poster,budget
108,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,february,120 and above,new,new,no one,no one,new,very low
109,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,mango music,less than6,d,new,no one,no one,no,very low,february,120 and above,new,new,no one,no one,new,very low
110,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,l,new,no one,no one,no,very low,february,120 and above,new,new,no one,no one,new,very low
111,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,february,120 and above,new,new,no one,no one,new,very low
112,average,level-12,no hero,level-9,no heroien,level-4,no,level-2,level-2,level-8,level-2,aditya music,less than6,c,no one,no one,level-5,no,top,january,130 and above,level-3,no one,level-3,level-2,level-1,high
113,average,level-8,level-5,no hero,level-5,level-3,no,level-1,level-1,level-4,level-7,more than one,less than6,s,no one,new,level-11,yes,normal,january,130 and above,level-6,level-2,level-3,level-3,level-1,high
114,flop,new,seasonal,no hero,new,no heroien,no,level-8,level-8,new,new,aditya music,less than6,l,new,new,no one,yes,low,february,130 and above,new,new,no one,no one,level-1,very low
115,flop,new,new,no hero,seasonal,new,no,new,new,new,new,aditya music,less than6,o,no one,no one,new,no,low,february,below 120,new,no fights,no one,no one,new,very low
116,super hit,level-3,no hero,level-1,no heroien,level-2,no,level-1,level-1,level-1,level-2,lahari music,less than6,d,level-1,level-6,level-7,yes,top,january,150 and above,level-1,level-1,no one,no one,level-1,very high
117,industry hit,level-1,level-2,level-11,level-1,level-7,yes,level-1,level-1,level-1,level-2,aditya music,more than 6,c,no one,level-1,level-3,yes,top,january,150 and above,level-1,level-1,no one,no one,level-1,very high
118,flop,new,no hero,no hero,seasonal,seasonal,no,new,new,new,new,normal,less than6,ab,new,new,no one,yes,low,march,120 and above,level-5,no fights,no one,no one,level-3,very low
119,flop,new,new,no hero,new,no heroien,no,level-11,level-11,new,level-11,normal,less than6,p,new,no one,no one,no,low,march,below 120,new,no fights,no one,no one,new,medium
120,flop,seasonal,seasonal,new,new,no heroien,yes,level-7,level-7,new,new,mango music,less than6,o,level-12,no one,no one,no,normal,march,120 and above,level-9,no fights,no one,no one,level-2,low
121,disaster,seasonal,no hero,level-10,no heroien,no heroien,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,march,below 120,new,new,no one,no one,new,low
122,flop,new,no hero,level-10,level-10,no heroien,no,new,new,level-13,level-10,sony,less than6,q,new,no one,no one,no,normal,march,120 and above,new,new,no one,no one,new,medium
123,average,seasonal,level-13,no hero,new,no heroien,no,level-7,level-7,level-13,level-1,aditya music,exactly 6,c,new,new,no one,yes,top,march,130 and above,new,no one,no one,level-5,new,low
124,flop,more than one,seasonal,no hero,new,no heroien,no,new,new,more than one,new,aditya music,more than 6,x,new,new,no one,yes,top,february,130 and above,new,no fights,no one,no one,new,low
125,super hit,new,no hero,level-8,level-7,no heroien,no,level-3,level-3,level-5,level-6,sony,less than6,p,level-8,no one,no one,no,top,february,120 and above,level-2,new,no one,no one,new,medium
126,flop,level-17,level-6,no hero,level-5,level-4,no,level-2,level-2,level-11,level-1,aditya music,less than6,l,level-7,no one,no one,no,top,february,130 and above,level-3,no one,level-2,level-4,new,high
127,super hit,level-9,level-4,no hero,level-2,no heroien,no,level-4,level-4,level-6,level-2,aditya music,less than6,d,level-4,no one,no one,no,top,february,130 and above,level-3,level-2,no one,no one,new,high
128,average,level-10,no hero,level-5,no heroien,level-2,no,level-3,level-4,level-10,level-2,aditya music,more than 6,l,no one,no one,level-1,no,top,february,150 and above,level-3,no fights,no one,no one,level-5,medium
129,flop,new,new,new,level-14,level-11,yes,new,new,new,new,mango music,exactly 6,q,new,no one,no one,no,normal,february,130 and above,new,no fights,no one,no one,level-2,low
130,average,new,no hero,level-8,level-4,no heroien,no,level-5,level-3,new,level-6,aditya music,less than6,b,no one,no one,level-10,no,normal,january,130 and above,level-4,level-4,no one,no one,level-1,low
131,flop,new,new,no hero,new,new,no,level-2,level-2,level-12,level-6,madhura audio,less than6,l,level-10,no one,no one,no,top,january,below 120,new,no fights,no one,no one,new,very low
132,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,q,new,no one,no one,no,very low,january,120 and above,new,new,no one,no one,new,very low
133,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,mango music,less than6,q,no one,new,no one,no,very low,january,120 and above,new,new,no one,no one,new,very low
